,Date,User,Tweet
0,2022-06-30 11:12:07+00:00,newstracklive,"कन्हैयालाल के परिजनों से मिले सीएम गहलोत, दिया हरसंभव मदद का भरोसा https://t.co/ivrkLm3kF0 https://t.co/mqDKRZhCkU #kanhaiyalal #ashok_gehlot #islam #nupur_sharma @newstracklive"
1,2022-06-30 11:11:35+00:00,itxdareenkhan,"Police officers in #Kherson region saved 40 hectares of crops from a fire caused by Russian shelling, National police reports.

#russiaisaterrorisstate #UkraineUnderAttaсk 
#udaipur
#NupurSharma
#rain
#سازش_ہی_تھی
#UkraineRussiaWar https://t.co/ftYQ9wBA2Z"
2,2022-06-30 11:11:35+00:00,AdvTohed,@IrfanPathan What About Nupur Sharma ?
3,2022-06-30 11:11:20+00:00,Rishabh49195128,@giingamango @dineshjoshi18 @SarTazmiraAziz @geertwilderspvv @NupurSharmaBJP heard news about islamic terrorism?
4,2022-06-30 11:11:19+00:00,deepakk2094,"Kanhaiya Lal A Hard Working Tailor From Udaipur Killed For Just For Supporting Nupur Sharma
https://t.co/XHf32mjNAw
#TotalBoycott #ISIS #khaniyalal #Udaipur #NupurSharma #MalavikaMohanan #IslamicTerrorismInIndia #khaniyalalTeli @AskAnshul @ARanganathan72 @vivekagnihotri"
5,2022-06-30 11:10:40+00:00,anilyaduvanshi,Not comment but using an image as profile/status of NupurSharma Support... https://t.co/pczyMtRz8m
6,2022-06-30 11:10:31+00:00,prajyot159,"I support #NupurSharma 
Jay hind
Jihadis must die https://t.co/VbvMpUtyMM"
7,2022-06-30 11:10:20+00:00,singh_amarindra,@saxenayogesh04 @NupurSharmaBJP @asadowaisi @MamataOfficial सभी अपने विधायकों को ज्ञापन दें सरकार तुरंत एक्शन ले।
8,2022-06-30 11:10:02+00:00,Ajaykumarroy108,"हम भी नूपुर शर्मा का समर्थन करते हैं
आ जाओ अपना नाप देने
हम कफ़न मुफ्त में देंगे
🗡🗡🗡 #NupurSharma"
9,2022-06-30 11:09:58+00:00,imsimplified_01,@ishtiaq787 @NupurSharmaBJP @AskAnshul @officeofJsrs Nhi islam ki sacchai dekh ke Teri phat gyi....phategi bas sharam to Aayega nhi kabhi tum logo ko....
10,2022-06-30 11:09:54+00:00,zeusbaabaa,@ANI I wish you were as strong as @NupurSharmaBJP
11,2022-06-30 11:09:22+00:00,Horizon2weet,"@NikitaM14861896 @lightlo4 @most3x @flutedevil @Saddam_Ali07 @dhruv_rathee Hey, do you dare to see that you oppose ZUBAIR's arrest. I don;t support nupur sharma and I dont support her arrest. Can you dare to say?? if not, why being hypocrite and wasting time here. 
In hindi - atleast yaha bol to sahi.. tweet to door ki baat"
12,2022-06-30 11:09:11+00:00,shailesh0701,@DollyYadv @OIC_OCI @ArvindKejriwal @AmitShah @PMOIndia @ZeeNews @aajtak @asadowaisi @NupurSharmaBJP न खाता न बही जो मुल्ला-मौलवी बोले वो सही
13,2022-06-30 11:09:04+00:00,NeerajDeogade,"@drshivalik @ANI Infact  nupur sharma with security bhi khatare mai hai....
Non traceble"
14,2022-06-30 11:08:53+00:00,MongeringM,"@meerfaisal01 First tell me if what @NupurSharmaBJP said/ quoted from that book was WRONG or RIGHT ❓
Isn't it DOCUMENTED ❓

If YES, than how is she wrong..

Let any Muslim living in India or even @OIC_OCI clarify this.."
15,2022-06-30 11:08:35+00:00,ishtiaq787,@imsimplified_01 @NupurSharmaBJP @AskAnshul @officeofJsrs Kyn phat gayi Na?
16,2022-06-30 11:08:10+00:00,sunilddesai,It would be so nice if MEA India convey to Dutch Govt and prohibit @geertwilderspvv to stop issuing comments in Internal matters of our country &amp; what course Judiciary need to take concerning @NupurSharmaBJP statements
17,2022-06-30 11:08:08+00:00,DevtaToofanka,"First thing is why didn't zubair did the fact check of Nupur sharma statement.
Second he circulated the edited video..
Third he translated the nupur sharmas statement into Arabic &amp; urdu.

Isn't he the main conspirator."
18,2022-06-30 11:08:02+00:00,Millenniumlion,"@sakshijoshii Not surprised this is coming from someone who got rattled when a brave lady @NupurSharmaBJP actually spoke the truth about I$lam and exposed Jih@dis like #Zubair!!

How to be a hypocrite - daily tweets by Sakshi Joshi #LiberalHypocrisy #LiberalismIsAMentalDisease"
19,2022-06-30 11:07:48+00:00,vaibhavUP65,"@sspti222 I want them grow a spine. Not succumb to Blackmailers of Shaheen Bagh, Killers of Bengal, Not to increase funds of Madrassas, not to suspend Nupur Sharma &amp; Naveen Jindal under pressure of Jihadis, throw Maulana Saad in Jail etc etc
Can you ask them to do these for us?"
20,2022-06-30 11:07:06+00:00,tsg_sportsgrail,Who Is Mohammed Riyaz Attari And Muhammad Ghaus Muslims Who Murdered Kanhaiya Lal In Udaipur For Post In Support Of Nupur Sharma As Photo And Video Go Viral #kanhaiyalal #udaipur #justiceforkanhaiyalal #muslims #muslim #nupursharma #beheading #hinduphobia https://t.co/Suf0QIvVEZ
21,2022-06-30 11:07:04+00:00,baaghikiranpal,@NupurSharmaBJP का समर्थन करने पर गला उतारा गया और मदरसे में ऐसे घिनौने काम पर मौन आखिर क्यों ? @naveenjindalbjp @PiyushTiwariNew @KumaarSaagar https://t.co/nX4WOkUZSS
22,2022-06-30 11:07:01+00:00,sanjeevkapoor56,Who Is Mohammed Riyaz Attari And Muhammad Ghaus Muslims Who Murdered Kanhaiya Lal In Udaipur For Post In Support Of Nupur Sharma As Photo And Video Go Viral #kanhaiyalal #udaipur #justiceforkanhaiyalal #muslims #muslim #nupursharma #beheading #hinduphobia https://t.co/Uy4Tr1EHOf
23,2022-06-30 11:06:58+00:00,Dippy_Chen,@Shehzad_Ind @indiatvnews @IMinakshiJoshi Present the plan to nab Nupur Sharma .. who is absconding along with her security perhaps .. 👍 https://t.co/x5CJLq7Zsz
24,2022-06-30 11:06:58+00:00,gautamkapoor54,Who Is Mohammed Riyaz Attari And Muhammad Ghaus Muslims Who Murdered Kanhaiya Lal In Udaipur For Post In Support Of Nupur Sharma As Photo And Video Go Viral #kanhaiyalal #udaipur #justiceforkanhaiyalal #muslims #muslim #nupursharma #beheading #hinduphobia https://t.co/hV30ntwvns
25,2022-06-30 11:06:57+00:00,Shahtaj_Khan_,"@ANI 1st of all who is he to condemn on behalf of all Indian Muslims?
2n Any Sadhu or Santh have courage to give such a statement on Nupur Sharma who is the main reason for all this?
Why Modi keeping silence on this issue, which brings lot of shame to the country?
#ArrestNupurSharma"
26,2022-06-30 11:06:52+00:00,Mo79505016,"@NupurSharmaBJP Too late for that, enjoy ur doing"
27,2022-06-30 11:06:46+00:00,KJBINAYPAUL,@madhukishwar @NupurSharmaBJP @BJP4India Lady. You need help
28,2022-06-30 11:05:54+00:00,sumeshkapoor,"@AdnanAliKhan555 Gyanvapi dabaya nupur Sharma ke sath, nupur Sharma dabaya agniveer ke sath, agniveer dabaye bulldozer aur Maharashtra ke sath aur zubair sirf tweetvir ko dabane ke lie kia hai."
29,2022-06-30 11:05:49+00:00,drshivalik,@NeerajDeogade @ANI Oh yes just write once what nupur Sharma has said in press conference!! Then will see kaun khatre mein hai!!!
